name,id,teams,grpid
C.Johnson,32013030-2d30-3032-3533-38393e6651e0,DET (2011-2011),calvin-johnson-wr
C.Johnson,32013030-2d30-3032-3631-36341e03d9e9,"ARI (2015-2017),NYJ (2014-2014),TEN (2011-2013)",chris-johnson-rb
C.Jones,00-0008704,LAC (1999-1999),charlie-jones-wr
C.Jones,32013030-2d30-3032-3831-3238c7b26a42,CAR (2019-2019),colin-jones-db
C.Jones,32013030-2d30-3032-3836-3634e531f84b,DAL (2016-2017),chris-jones-p
C.Jones,32013030-2d30-3033-3330-39385141444f,BUF (2016-2016),cardale-jones-qb
C.Kluwe,00-0023060,MIN (2006-2009),chris-kluwe-p
C.Kluwe,32013030-2d30-3032-3330-3630e93eeb9d,MIN (2011-2011),chris-kluwe-p
C.Martin,00-0010436,PHI (1999-2002),cecil-martin-fb
C.Martin,00-0010442,NYJ (1999-2005),curtis-martin-rb
C.McCoy,00-0027688,CLE (2010-2010),colt-mccoy-qb
C.McCoy,32013030-2d30-3032-3736-38385988c69a,"CLE (2011-2012),SF (2013-2013),WAS (2014-2019)",colt-mccoy-qb
C.Ogbonnaya,00-0027140,LA (2009-2009),chris-ogbonnaya-rb
C.Ogbonnaya,32013030-2d30-3032-3731-3430e73f7935,"CAR (2014-2014),CLE (2011-2013),HOU (2011-2011)",chris-ogbonnaya-rb
C.Painter,00-0027134,IND (2009-2009),curtis-painter-qb
C.Painter,32013030-2d30-3032-3731-3334c47ca458,"IND (2011-2011),NYG (2013-2013)",curtis-painter-qb
C.Palmer,00-0021429,CIN (2004-2010),carson-palmer-qb
C.Palmer,32013030-2d30-3032-3134-32391c8963bc,"ARI (2013-2017),LV (2011-2012)",carson-palmer-qb
C.Peerman,00-0026932,CIN (2010-2010),cedric-peerman-rb
C.Peerman,32013030-2d30-3032-3639-3332f0357818,CIN (2011-2016),cedric-peerman-rb
C.Redman,00-0019709,"ATL (2007-2010),BAL (2000-2003)",chris-redman-qb
C.Redman,32013030-2d30-3031-3937-3039dda68e05,ATL (2011-2011),chris-redman-qb
C.Rogers,00-0022072,DET (2003-2003),charles-rogers-wr
C.Rogers,32013030-2d30-3033-3233-35355e7ab91e,IND (2017-2019),chester-rogers-wr
C.Spiller,00-0027861,BUF (2010-2010),cj-spiller-rb
C.Spiller,32013030-2d30-3032-3738-3631206be155,"BUF (2011-2014),KC (2017-2017),NO (2015-2015),NYJ (2016-2016),SEA (2016-2016)",cj-spiller-rb
C.Taylor,00-0021314,"BAL (2002-2005),CHI (2010-2010),MIN (2006-2009)",chester-taylor-rb
C.Taylor,00-0023844,HOU (2006-2008),chris-taylor-rb
C.Taylor,32013030-2d30-3032-3133-313418b6361f,ARI (2011-2011),chester-taylor-rb
C.Washington,00-0026353,JAX (2008-2008),chauncy-washington-rb
C.Washington,32013030-2d30-3032-3633-35335a6e280b,DAL (2011-2011),chauncy-washington-rb
C.Wells,00-0027007,ARI (2009-2010),beanie-wells-rb
C.Wells,32013030-2d30-3032-3730-303749c47818,ARI (2011-2012),beanie-wells-rb
C.Whitehurst,00-0024296,"LAC (2006-2006),SEA (2010-2010)",charlie-whitehurst-qb
C.Whitehurst,32013030-2d30-3032-3432-393657c9ed83,"CLE (2016-2016),IND (2015-2015),LAC (2013-2013),SEA (2011-2011),TEN (2014-2014)",charlie-whitehurst-qb
C.Williams,00-0023440,TB (2005-2010),cadillac-williams-rb
C.Williams,32013030-2d30-3032-3334-3430b8dd718e,LA (2011-2011),cadillac-williams-rb
C.Williams,32013030-2d30-3032-3636-3931b74ad9ea,CHI (2014-2014),chris-williams-2-wr
C.Williams,32013030-2d30-3033-3339-333391b03e3b,ARI (2017-2018),chad-williams-wr
D.Akers,00-0000108,PHI (2000-2006),david-akers-k
D.Akers,32013030-2d30-3030-3031-3038742ce8f8,SF (2011-2011),david-akers-k
D.Alexander,00-0000145,KC (1999-2001),derrick-alexander-wr
D.Alexander,32013030-2d30-3032-3739-3132ccd1041e,LAC (2012-2012),danario-alexander-wr
D.Allen,00-0020058,JAX (2003-2003),david-allen-rb
D.Allen,32013030-2d30-3032-3936-3839b2db5387,IND (2012-2015),dwayne-allen-te
D.Amendola,00-0026035,LA (2009-2010),danny-amendola-wr
D.Amendola,32013030-2d30-3032-3630-33356909a613,"DET (2019-2019),LA (2012-2012),MIA (2018-2018),NE (2013-2017)",danny-amendola-wr
D.Anderson,00-0021048,ARI (2002-2005),damien-anderson-rb
D.Anderson,00-0023645,"ARI (2010-2010),CLE (2006-2009)",derek-anderson-qb
D.Anderson,00-0025582,DAL (2008-2008),deon-anderson-fb
